review,mark
"Смотрел данную передачу раз 10 за всю жизнь, отрезками в 10-30 минут, на большее моих сил не хватало. Сборище недальновидных людей, хотя иногда!!! безусловно высказываются умные люди, которых перебивают тупицы ничего не понимающие в какой-либо обсуждаемой теме.
В передаче заметил осуждение тех, кому действительно нужна помощь, и радостное хлопанье в ладоши тем, кто обворовывает страну.
Вобщем рекомендую посомотреть для ознакомления. Как почуствуете рвотные позывы, переключайте канал, или вовсе",0
"Полный отстой. У меня мать смотрит эту чушь. А потом целый день обсуждает все серии этой ""невыдуманной правды"" с своей соседкой. До чего тупые серии идут в этом ток-шоу. Скоро будут показывать там как соседка загнала занозу в палец. Либо как доили корову Маню.
Не советую смотреть.",0
"Удивлена, что так много поклонников у этого дурдома. Мама и сестра смотрят это шоу запоем, а я не могу понять что их так привлекает. И не их одних, многие знакомые девушки в конце дня собирают детей с площадки и идут смотреть ""Пусть говорят"". По мне так лучше с малышом на свежем воздухе это время провести.
Почему так много желающих смотреть как откровенно неумные люди ""трясут своим грязным бельём""? Неужели народ верит в натуральность персонажей. Ведь, скорее всего, половина просто актёры-любите",0
"Как говорят об этой передаче, так это то, что она помогает людям разобраться с их проблемами, я считаю что это великое заблуждение. Это обычное поднятие рейтингов, там не помогают людям, а обсуждают их, их жизненные ситуации и поступки, это глупость. Смотреть эту передачу не рекомендую, из за страшных ситуаций становиться жалко смотреть на этих людей, только портить настроение.",0
"Передача (ток-шоу) «Пусть говорят» вызывает у меня и у всей моей семьи только отрицательные эмоции, особенно в последнее время, причины:
▪	темы для выпусков выбирают не интересные и раздражающие, сплошной негатив;
▪	что касается ведущего Андрея Малахова – странная реакция на ситуации главных героев. Там, где нужно поддержать, он настроен категорически против приглашённого, там, где главный герой, мягко говоря, странен – Малахов лобозит перед ним;
▪	отдельный разговор о женщинах в студии – сты",0
"Чем прежде всего меня раздражают подобные ток-шоу - так это базаром, ничего не понятно (если конечно пытаться понять) кто и что говорит. Это пятьдесят человек, которые решили разом, хором высказаться на предложенную, скандальную тему. Одним словом - дурдом.",0
"Бывает попадается эта передача на глаза - смотрю 10-20 минут и выключаю. Полнейший бред! Сбор чужой грязи и какой-то невообразимой тупизны. Приглашают на передачу неухоженных людей, живущих по большей части в глубинке, и обмусоливают их личную жизнь. Причем по большей части, не вооруженным взглядом видна наигранность и постановка. Это разве нормально?
Нет, ну попадались пару раз программы посвященные юбилеям известных людей или каким-то мероприятиям, но и там умудрятся вытащить какую-нибудь пош",0
"Пусть говорят - передачка про грязь. Прибегают люди, вываливают всю свою семейную грязь и мусолят это все эфирное время. Кто с кем спит, кто кому изменяет, кто кого ударил и чьи дети у малолетней мамаши.  Как только где скпндал, Малахов тащит к себе в студию. 
Правда помимо этой грязи, бывает еще она категория в Пусть говорят. Воспевпют кого-то из артистов. Если это живой артис, то все говорят о его гениальности. Если уже умерший, то приходят многочисленные любовники и любовницы и рассказывают,",0
"Передача ""Пусть говорят"" мне совсем не нравится. Длится она, если не ошибаюсь, около часа и все это время обсуждается какая-то ситуация, причем весьма скандальная ситуация и весь час в студии стоят дикие крики. Не по мне.",0
Мне не понравилось так как нудно и стыдно такое смотреть. Мне кажется что такое делают по тому что уже не чего придумывать!!!!,0
"Раньше это передача была интересная!!!
А щас из этого ток-шоу сделали какую то свалку и сборище ""баранов"".",0
"Мне кажется там все истории выдуманные (или приближенные к реальным), все люди там пришли заработать в качестве начинающих актеров. Неужели больше нечего показать зрителю кроме этого бреда? Не рекомендую к просмотру, просто потратите время впустую. И Малахов уже стареет...",0
"После ухода Малахова, это давно уже не Пусть Говорят. Ведущий программы ни о чём, со стороны складывается впечатление, что обычный студент без опыта, пришёл для отработки практики и получения какого-то опыта, в журналистике. Ему постоянно весело, какая бы тема передачи не была. Неоднократно ему делались замечания, в самом же прямом эфире, реакции 0. Соответственно, передача скатывается и быстротечно спускается на дно.",0
"Сделал заказ на сайте http://suprotec.ru/ 27.11.2015 (заказ № 343726).
Оплатило его, прислали письмо с подтверждением, что оплачено.
Заказ должны были доставить 30.11.2015 г с 9.00 до 18.00.
Ждал 30.11.2015, 01.12.2015, 02.12.2015 г, но заказ так и не был доставлен мне.

Дозвонился до оператора только через час упорных звонков. Просто не брали трубку. 

В итоге оператор наотрез отказался брать на себя ответственность за недоставку и переложил это ""недоразумение"" на каких-то третьих лиц. ",0
"Игра в общем-то неплохая.. хорошая идея, актуальная для многих- хоть так довести соседей до белого каления.. есть только одно большое НО.. слишком много повторов.. то есть на каждом последующем уровне нужно делать все то же что и на предыдущих плюс что-то новое.. чес слово, надоедает в стопятнадцатый раз засовывать туалетную бумагу в унитаз.. если бы не это повторяющееся однообразие, то игра была бы лучше.. ну да ладно.. поиграли, похохотали, надоела, забыли.. в целом игра неплохая и увлекательн",0
"Как достать соседа тоже древненькая игра, но для того времени была хитом. Я её полностью прошёл, причём всё на золотые медальки)) Там можно посиеятьсяч не плохо и она точно пойдёт на вашем компьютере. Но в наше время есть и другие игры. Теперь я её не советую- старая.",0
Мне нравится эта игра но она очень однообразна и долго я в нее играть не магу. Тупо ходишь и ставишь ловушки. Ее можно было чем нибудь приукрасить. Что бы она стала поинтереснее. Ну а так игрушка не плохая в ней можно убить немного времени  .,0
Веселенькая игрушка поиграть можно особено детям.,0
"Замечательная старенькая игрушка! Сейчас в нее мало кто играет, но в свое время была очень популярна. Сюжет правда слабенький, но для ребенка сойдет, можно занять ребенка 5-6 лет, но не старше. Смех гарантирован либо опять же детям, либо умственно отсталым.",0
"Игра в общем-то неплохая.. хорошая идея, актуальная для многих- хоть так довести соседей до белого каления.. есть только одно большое НО.. слишком много повторов.. то есть на каждом последующем уровне нужно делать все то же что и на предыдущих плюс что-то новое.. чес слово, надоедает в стопятнадцатый раз засовывать туалетную бумагу в унитаз.. если бы не это повторяющееся однообразие, то игра была бы лучше.. ну да ладно.. поиграли, похохотали, надоела, забыли.. в целом игра неплохая и увлекательн",0
"В небольшой деревеньке с благозвучным названием «Неждалово» в один, далеко не самый удачный, момент материализуется кабанообразный нувориш деревенского розлива. Долгое время на его участке шла стройка слишком шикарного и совершенно безвкусного особняка, которая до икоты достала всех местных жителей. И теперь, когда олигарх въехал в свои апартаменты, пришло время отомстить за то, что он нарушил ваш покой…
Если бы мне предложили купить эту игру, то я бы её не купил! Я вам больше скажу, я бы её да",0
"Помню, как еще очень давно играл в эту игру, да... были времена! Но все-же если поиграть в игру сейчас, то можно найти кучу недостатков - однообразие, легкость, неинтересный сюжет (скорее даже его отсутствие, так как просто доставать соседа - не есть сюжет), и я думаю, что сейчас уже играть в это никто не захочет.",0
Игра как достать соседа является игрой старой и легкой. Это была одна из первых моих игр и в то время она меня радовала хоть и некие квесты были сложными и иногда взбешивали) так же мы играли в неё с другом было тоже довольно весело) но сейчас эта игра старая да и проходить 2 раз неочень интересно.,0
"Довольно старая игра, поэтому она не очень увлекательна и красочна, но все таки с хорошим сюжетом. Игра отлично подойдет для детей. Сама прошла игру и хочу сказать, что не особо она мне понравился,  так сказать игра на любителя. Графика в игре по мне так и ужасная, управление тоже не айс. Но вообщем-то сам процесс игры пойдет.",0
"Когда-то давным давно, когда у меня только появился нормальный компьютер, взяла эту игру. Могла играть в нее часами и почему-то совсем не надоедало. Проходила ее наверно не одну тройку раз. Уж очень мне нравилось издеваться над вредным соседом. Позже скачала и остальные части этой игрушки, и так же прошла ее всю не по одному разу. Очень не плохая убивалка времени. Для тех, кто хочет весело и особо не напрягая мозги провести время - это игрушка будет находкой. Подобных ей по незатейливости, но ин",0
"Игра сама интересная, логическая. Но иногда надоедает. А вобще так ничего.",0
"Заказала через девочку этот спонж. Он был в комплекте с еще двумя. Пролежал недели две, я вспомнила про него и  решила попробовать после долгого дня, смыла макияж, нанесла пенку. Он не очень впитывает в себя воду, какой-то черствый, плохо намыливает и убирает грязь.",0
"Заказал услугу установки водосчетчиков и замены текущих труб полотенцесушителя. По телефону все пообещали сделать, мастер Сергей по телефону пообещал заменить все необходимые трубы. По приезду мастера началось нытье, что нет материала, много заказов, нет времени и вообще неохота даже за деньги. Установив только счетчики, и взяв дополнительные деньги за ""трудный доступ"" мастер Сергей предложил свои услуги по замене труб после окончания своего рабочего дня. Назначил время и место. И сбежал. И даль",0
"География, конечно, нужна, но нам ее уж слишком навязывали. Столицы стран и климат, конечно, знать полезно, но вот какой тип грунта и какие залежи полезных ископаемых детям явно знать не жизненно важно. А тем более, что это навевает скуку и нежелание заниматься предметом вообще. Все, что мы в школе на такие скучные темы изучали, я забыла сразу же после того, как школу закончила.",0
"Мне нравится продукция Avon, но эти пудра-шарики не люблю, так как ими что мажешь лицо, что нет-одно и тоже, нет результата, нет эффекта. Впустую крутишь кисточкой по ним, и все. Не понравились, так и стоит баночка уже 2 года.",0
"Игра так себе не особо постояно по заданию хрен знает куда беги, постояно нужно прятаться от бури, ну так на любителя.",0
"Почитал я оставленные отзывы и убедился что все они оставлены по партнерской программе.
Вот группа в контакте которая подтверждает что данная компания предоставляет информационные   
услуги и не о какой гарантии и возврате денег речи быть не может!!! 
Почитайте договор оферты и убедитесь сами http://vk.com/nakedbizoff.",0
"Информацию которую они предоставляют уже не актуальна вообще это какой-то детский сад. Такое ощущение, как-будто вся информация собрана с ""яндекса"" и всяких форумов и собрана в одном месте, причем не самым понятным и грамотным способом. Эта информация конечно будет полезна тем кто впервые в интернете и только начинает осваивать.",0
Закупили для ремонта на данном сайте 132 мешка керамзитовой засыпки. На сайте и по телефону подтвердили в мешке 40 литров +/- 5%. При засыпке пола обратил внимание что расходуется намного больше мешков чем должно бы даже с учетом усадки. Позвонил в магазин на что мне ответили что такого не может быть и я видимо неправильно меряю. Мол мне нужно взять трехлитровую банку и замерить сколько в мешке керамзита и тогда я убежусь что все в норме. Когда в сл. раз приехал на стройку я решил действительно ,0
"Фильм в принципе неплохой. Я не фанат мстителей и этого мира, меня подруга уговорила пойти. Сходили. Мне не зашло на 5 звёзд, но посмотреть раз можно. Может я просто не шарю по этой вселенной.
Было много скучных и усыпительных моментов под которые я чуть ли не спал, и я бы заснул, но стоило мне прикрыть глаза, как подруга доставала тем что щас что то интересное на экране будет, но нет, для меня не было ничего интересного, было пару моментов но не больше.
 Я лучше два раза Пикачу пересмотрю, че",0
"Мне не очень понравился фильм так как он был скучным только под конец более менее нормальный был .
А что сделали с тором так это ужас какой то, сама задумка была хорошая но получилось не очень .
Предыдущяя часть была намного лучше чем эта, самый нормальный момент в конце когда Старк умирает, а так весь фильм полная скукачища.
Я даже не пожалел что не пошел в кино на этот фильм, так как потратил бы просто так деньги на него.
Вообщем посмотреть можно его но только один раз.",0
"И вот настал долгожданный выход Финальной части Мстителей, но поход в кино был не очень приятный.  Этого фильма ждали все фанаты  и он был снят на скорую руку. Само начало фильма уже удивило своим через чур быстрым развитием событий. В финале некоторые персонажи были запороты, а некоторые слишком вознесены и это огорчает. Были Некоторые не стыковки: 
В Войне Бесконечности  сказали что Танос сделал свою перчатку у гномов которые куют оружие богов  ибо простой материал попросту не выдержит силы к",0
"Я не понимаю людей которые думают, что в отзывах можно все узнать. Если вас интересует франшиза ""Макет-мастер"" то  обратитесь непосредственно в компанию. Зайдите на сайт потом свяжитесь и решайте.",0
"Семейство жуков, в некоторых источниках — собирательное название нескольких подсемейств жуков семейства пластинчатоусых. Жуки питаются навозом и откладывают свои яйца прямо в навоз или в вырытые ими в земли и тоже наполненные навозом ямки. Стоит только куче навоза появиться на земле, как ее тут же спешат заселить. Используя жука как транспорт, клещики расселяются из одной навозной кучи в другую. Они очень мелкие и перемещаются на жуках.",0
"Покупал в официальном салоне связи в декабре 2011 года за 4900 рублей. Искал бюджетный сенсорный 2х симочник. На тот момент ничего толкового на прилавках за эту божескую цену не наблюдал: ))) За 10 месяцев работы телефон показал себя со всех сторон. Внимание: телефон глючит если вы забиваете память приложениями. Я сразу удалил стандартные игры. Если ничего не ставить кроме оперы-браузера - все работает на ура: ) Хватает установленных гаджетов (погода, новости, курсы валют, афиша). 
При звонках ",0
"Обычный ранер. Не отличается от остальных почти ничем. Да, безусловно, игра подойёдт для того, чтобы ""убить время"". Но мне кажется, для этой цели лучше подойдёт subway surf.",0
"Нынче футбол оставляет желать лучшего. Легенды уже, к сожалению, не играют. Про Россию говорить, себя не уважать. А вот комментаторы - это нечто! По всем транслирующим ЧЕ 2021 каналам комментаторы идиоты. Кто их допускает? Просто слов нет... Что по ОРТ, что по РТР, что по Матчу... Сильно порадовало слово ""пенальтисты"".  Это кто? Богатый русский язык. Грустно, господа!",0
"Телефон конечно неплохой, очень удобный, практичный... Но как и все андроиды иногда подлагивает, это очень сильно бесит... То что 2 сим карты конечно радует, дает больше возможностей... Но к сожалению это всё перекрывает сказанное выше... Ну а в общем неплохо, для данной модели очень даже неплохо).",0
"Очень плохой и древний тел, ужасная камера, постоянно виснет.",0
Мне понравился  очень  хороший телефон 2 сим карты доступно micro sim  очень классный советую всем всем особенно когда играешь в игры процессор хороший так что советую всем но есть и минусы экран разбился  ломается часто легче купить новый  камера передняя и задняя в пыли.,0
"Чисто купил я его случайно.
Даже не смотрев характеристики, но как увидел я был просто в ужасе
экран 4"", разрешение 320x480 это просто ужас, такое расширение на кнопочных телефонах, а на 4 дюйма уже  лепят и по 400x800.
Все тут пишут мощный мощный, я скажу что он просто слабак
1 ядерный процессор с 800мгц частотой хаха... просто кошмар, даже Full HD видео ели ели воспроизводит, игры никакие не тащит.
Памяти 2гб, туда только пару песен закачать..
Андроид 4.1 все говорят тут типа ой андроид ",0
"Телефон не понравился по некоторым причинам в основном это, плохая камера, сама операционная система жутко тормозит, интерфес не как у обычного андроид смартфона, технические характеристики толком не соответствуют своей цене, за эти деньги можно купить другой, более мощный смарт.",0
Купил телефон сначала он работал нормально но потом стал не включаться не работать и не принимать смс. Делал полный сброс настроек но к сожалению ничего не изменилось. Позже он еще поработал год и совсем умер.,0
Плохое качество.,0
"У
меня с первого дня начались проблемы с етим телефоном. Он 
отключался, постоянно зависал, с инета выбрасывал и ко мне не могли 
дозвонится. В магазине менять не захотели. Отнесла на 
ремонт, перепрошили-не помогло. Потом мастер сказал, что нужно менять 
плату. Знала б это-никогда б не брала етот хлам!",0
"Книга о бедной девочке и её взглядах на жизнь. Многие знакомые хвалили эту книгу и советовали мне почитать, зная, что я книголюб и люблю размышления о жизни. Но мне показалось. что книга скучная. Тоскливо, уныло, затянуто. Проза жизни, сюжета практически нет. В мыслях главной героини не хватает оптимизма. Не заметно борьбы с трудностями и целеустремлённости как это бывает в книгах про бедняков.
Хорошему настроению такая книга не способствует. Моя мама любит классику, но иногда может читать разн",0
Зайдя в фикс прайс я сперва подумала что это для животных или детей но когда прочитала что это для стирки была сильо удивлена. Пазвала консультанта а она говорит это чтобы пух разбивать. у меня есть пуховики в котором клетки с пухом достаточно мелкие и его стирку я оттягиваю до последнего. Купила я их значит пришла домой и сразу пуховик в стирку с чудо шарами. Доставая пуховик я ожидала увидеть полностью взбитый пуховик я придполагала что не идеально будет но большую часть сделают ЧУДО шары. Дос,0
"Купила эти шарики для стирки пуховиков, их в нашей семье три и все светлые, так что стирать приходится часто. Обычно после стирки в машине-автомате приходится вручную через подкладку распушивать сбившийся пух. Когда услышала, что есть специальные шарики, то конечно их купила, в барабан машины добавляю сразу 5 штук, ну чтобы наверняка. Отстируется одежда действительно лучше, и пух сбивается как бы меньше, но не на 100%, все равно руками приходится распушивать.",0
"Такое впечатление что у Американцев серьезная проблема сексуального развития подростков...
По моему у нас такой проблемы нет....
Категорически не рекомендуется людям с наличием ума. Народ катастрофически тупеет....
оценка 3 из 5...
Фильм пустышка....",0
"Если честно, то мне давно перестали нравится фильмы, штампующие ""Американский пирог"". История про лошка, которому повезло с шикарной девушкой. Очень банальный сюжет, такой же юмор, даже местами пошлый.
Ничего особенного. За время просмотра несколько раз выходила на кухню и по прочим делам - ничего не потеряла, и пересматирать не горю желанием.",0
"Скучно, нудно, дешево. Только если совсем нечем убить время. O плохом фильме много не напишешь... Не понравился.",0
"Сделали мы значит ремонт в квартире! Дом пустой, мебели вообще нет, и надо покупать все. Денег много нет. По этому решили покупать мебель дешевле. 
Поехали выбирать в торговый центр. Нашли там магазин «мебель тут дешевле». Магазин точная копия магазина рядом. Но мебель немного дешевле как и говорит название. Мебель вся очень стильная, это привлекает, ещё и по такой цене. Выбирали между двумя диванами. Белый из эко кожи не захотели брать, потому что будет тело прилипать. 
Остановили выбор на ди",0
"После оплаты не выходят на связь, товар не отправляют с начало писали что деньги не поступили на карту после того как я сходил в банк за подтверждением проведения операции, просто пропали на письма не отвечают, отзывы на своем сайте сами понаписали и не публикуют отзывы обманутых.",0
"В MrEnglish очень высокие цены на перевод статей, но я обратилась на сайт[URL=http://www. bpacademy.ru/translation/]ссылка[/URL]. Кому действительно нужен качественный перевод обращайтесь.",0
"Сотрудничали с типографией ""Альтаир"" г. Краснодар. При очередной поставке заказанных коробок выявили брак (коробки расклеиваются, фасовать продукцию, для которой они предназначены невозможно). Сотрудники и руководитель о браке слышать не хотят, только предлагают оплатить новую партию. Ужасное качество работы и отношение к клиенту.
Приходится оплачивать сторонние услуги для устранения дефектов.
Не рекомендую типографию ""Альтаир"" г. Краснодар к сотрудничеству.",0
